H2,H3,L1,L2,L3
L5,WILD,L3,L1,L4
H1,L1,L4,L2,L5
H1,L2,L5,L3,L2
H2,L4,L2,L5,L5
H4,L5,L5,L4,H1
H3,L4,L3,L4,L5
L4,L4,L3,L5,H2
L1,L5,L1,L3,L3
L3,L2,L5,H1,H1
L1,WILD,L4,L4,L1
L3,L1,H4,L3,L5
L2,H4,L2,H1,L5
H3,H1,SCAT,H2,H4
L1,H1,L3,H2,H3
L3,H2,WILD,L2,H1
L2,H4,L4,H1,H1
L5,L5,L5,L5,L5
L3,H1,L5,H3,H3
L5,SCAT,L5,L5,H2
H1,L4,WILD,L5,L3
L4,L2,L4,L3,L4
L4,L2,L1,SCAT,WILD
WILD,L3,WILD,H1,H3
H3,L2,L1,L2,L3
L1,L2,L4,L3,H2
H2,L3,H2,L4,L4
L2,L4,L1,H3,L1
L4,H2,L3,L4,L4
L5,L1,L2,L1,H2
SCAT,L1,L3,H2,L5
L3,WILD,H2,L1,L3
L4,L3,H3,L1,WILD
L3,L1,H4,L3,L1
L1,L5,H1,L2,L4
L3,L4,H1,L1,H4
WILD,H3,L1,L5,L1
L1,L5,H1,H3,L2
H2,L3,L5,L4,L2
H1,L3,L3,WILD,L2
L2,H2,L4,L4,L2
L5,L3,L2,L2,SCAT
L5,L5,H2,H2,L2
L4,H3,H3,L1,L1
L4,L1,H1,WILD,L4
H4,L5,L2,L3,L4
L2,L4,L4,H4,L3
WILD,H1,H2,WILD,WILD
L5,L3,H3,L5,L3
L2,H2,L2,H4,L1
